Date,Transaction Type,Name,Memo/Description,Split,Amount,Balance
08/10/2021,Deposit,,SVB FOR BENEFIT OF ANGELLIST,Series Seed Preferred Share:Angel -Investment,402460,2415480
08/10/2021,Transfer,,PaymentServiceB Checking **7257,Savings (6977),-402460,2013020
08/10/2021,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-402460,1610560
08/10/2021,Transfer,,PaymentServiceB Savings **6977,Account1,402460,2013020
08/10/2021,Transfer,,PaymentServiceB Checking **7257,Account1,-402460,1610560
08/10/2021,Transfer,,PaymentServiceB Savings **6977,Account1,402460,2013020
08/10/2021,Transfer,,PaymentServiceB Checking **7257,Savings (6977),402460,2415480
08/10/2021,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-402460,2013020
08/10/2021,Deposit,,SVB FOR BENEFIT OF ANGELLIST,Account1,402460,2415480
08/10/2021,Transfer,,SVB FOR BENEFIT OF ANGELLIST,Savings (6977),402460,2817940
08/10/2021,Deposit,,SVB FOR BENEFIT OF ANGELLIST,Series Seed Preferred Share:Angel -Investment,402460,3220400
08/10/2021,Transfer,,PaymentServiceB Checking **7257,Account1,-402460,2817940
08/10/2021,Transfer,,PaymentServiceB Checking **7257,Account1,402460,3220400
08/10/2021,Transfer,,PaymentServiceB Checking **7257,Savings (6977),402460,3622860
08/10/2021,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-402460,3220400
08/10/2021,Deposit,,SVB FOR BENEFIT OF ANGELLIST,Account1,402460,3622860
08/10/2021,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-402460,3220400
08/10/2021,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-402460,2817940
08/10/2021,Deposit,,SVB FOR BENEFIT OF ANGELLIST,Series Seed Preferred Share:Angel -Investment,402460,3220400
08/10/2021,Transfer,,SVB FOR BENEFIT OF ANGELLIST,Savings (6977),402460,3622860
08/10/2021,Transfer,,PaymentServiceB Checking **7257,Savings (6977),-402460,3220400
08/13/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.48,3220400.48
08/13/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.67,3220401.15
08/13/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.19,3220401.34
08/13/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.67,3220402.01
08/13/2021,Expense,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,-0.67,3220401.34
08/13/2021,Deposit,,RAMP BUSINESS CO,Savings (6977),-0.19,3220401.15
08/13/2021,Deposit,,RAMP BUSINESS CO,Savings (6977),-0.48,3220400.67
08/13/2021,Expense,,RAMP BUSINESS CO,Savings (6977),0.67,3220401.34
08/13/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.67,3220402.01
08/13/2021,Expense,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,-0.48,3220401.53
08/13/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.19,3220401.72
08/13/2021,Expense,,RAMP BUSINESS CO,Savings (6977),0.67,3220402.39
08/13/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.48,3220402.87
08/13/2021,Expense,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,-0.19,3220402.68
08/13/2021,Deposit,,RAMP BUSINESS CO,Savings (6977),-0.67,3220402.01
08/13/2021,Expense,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,-0.67,3220401.34
08/13/2021,Expense,,RAMP BUSINESS CO,Savings (6977),0.48,3220401.82
08/13/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.19,3220402.01
08/13/2021,Expense,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,-0.48,3220401.53
08/13/2021,Deposit,,RAMP BUSINESS CO,Savings (6977),-0.19,3220401.34
08/13/2021,Deposit,,RAMP BUSINESS CO,Savings (6977),-0.48,3220400.86
08/13/2021,Deposit,,RAMP BUSINESS CO,Savings (6977),-0.19,3220400.67
08/13/2021,Expense,,RAMP BUSINESS CO,Savings (6977),0.19,3220400.86
08/13/2021,Expense,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,-0.19,3220400.67
08/13/2021,Expense,,RAMP BUSINESS CO,Savings (6977),0.67,3220401.34
08/13/2021,Expense,,RAMP BUSINESS CO,Savings (6977),0.19,3220401.53
08/13/2021,Deposit,,RAMP BUSINESS CO,Savings (6977),-0.67,3220400.86
08/13/2021,Expense,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,-0.67,3220400.19
08/13/2021,Deposit,,RAMP BUSINESS CO,Savings (6977),-0.48,3220399.71
08/13/2021,Expense,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,-0.19,3220399.52
08/13/2021,Deposit,,RAMP BUSINESS CO,Savings (6977),-0.67,3220398.85
08/13/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.48,3220399.33
08/13/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.67,3220400
08/13/2021,Expense,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,-0.48,3220399.52
08/13/2021,Expense,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,-0.19,3220399.33
08/13/2021,Deposit,,RAMP BUSINESS CO,Savings (6977),-0.19,3220399.14
08/13/2021,Expense,,RAMP BUSINESS CO,Savings (6977),0.48,3220399.62
08/13/2021,Expense,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,-0.67,3220398.95
08/13/2021,Expense,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,-0.48,3220398.47
08/13/2021,Expense,,RAMP BUSINESS CO,Savings (6977),0.19,3220398.66
08/13/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.48,3220399.14
08/13/2021,Expense,,RAMP BUSINESS CO,Savings (6977),0.48,3220399.62
08/13/2021,Expense,,RAMP BUSINESS CO,Savings (6977),0.48,3220400.1
08/13/2021,Expense,,RAMP BUSINESS CO,Savings (6977),0.19,3220400.29
08/13/2021,Deposit,,RAMP BUSINESS CO,Savings (6977),-0.48,3220399.81
08/13/2021,Deposit,,RAMP BUSINESS CO,Savings (6977),-0.67,3220399.14
08/13/2021,Expense,,RAMP BUSINESS CO,Savings (6977),0.67,3220399.81
08/13/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.19,3220400
08/16/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-5265.32,3215134.68
08/16/2021,Expense,,CompanyB,Account1,120000,3335134.68
08/16/2021,Transfer,,PaymentServiceB Checking **7257,Account1,-150000,3185134.68
08/16/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-5265.32,3179869.36
08/16/2021,Expense,,CompanyB,Investment in Australia Subsidiary,-120000,3059869.36
08/16/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-5265.32,3054604.04
08/16/2021,Expense,,CompanyB,Investment in Australia Subsidiary,-120000,2934604.04
08/16/2021,Transfer,,PaymentServiceB Checking **7257,Savings (6977),150000,3084604.04
08/16/2021,Expense,Income Capitals ,"Income Capitals , Gabriel (design contractor)",Account1,5265.32,3089869.36
08/16/2021,Transfer,,PaymentServiceB Checking **7257,Savings (6977),150000,3239869.36
08/16/2021,Expense,,CompanyB,Investment in Australia Subsidiary,-120000,3119869.36
08/16/2021,Expense,,CompanyB,Account1,120000,3239869.36
08/16/2021,Expense,Income Capitals ,"Income Capitals , Gabriel (design contractor)",Account1,5265.32,3245134.68
08/16/2021,Expense,Income Capitals ,"Income Capitals , Gabriel (design contractor)",Account1,5265.32,3250400
08/16/2021,Expense,,CompanyB,Account1,120000,3370400
08/16/2021,Transfer,,PaymentServiceB Checking **7257,Savings (6977),150000,3520400
08/16/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-5265.32,3515134.68
08/16/2021,Expense,,CompanyB,Investment in Australia Subsidiary,-120000,3395134.68
08/16/2021,Transfer,,PaymentServiceB Checking **7257,Account1,-150000,3245134.68
08/16/2021,Transfer,,PaymentServiceB Checking **7257,Account1,-150000,3095134.68
08/16/2021,Transfer,,PaymentServiceB Checking **7257,Savings (6977),150000,3245134.68
08/16/2021,Transfer,,PaymentServiceB Checking **7257,Account1,-150000,3095134.68
08/16/2021,Expense,,CompanyB,Account1,120000,3215134.68
08/16/2021,Expense,Income Capitals ,"Income Capitals , Gabriel (design contractor)",Account1,5265.32,3220400
08/18/2021,Deposit,BIG VC Investors,BIG VC Investors,Series Seed Preferred Share:Accel -Investment,2097539.6,5317939.6
08/18/2021,Deposit,BIG VC Investors,BIG VC Investors,Series Seed Preferred Share:Accel -Investment,2097539.6,7415479.2
08/18/2021,Deposit,BIG VC Investors,"BIG VC Investors Issue of 3,226,984 Series seed shares",Account1,2097539.6,9513018.8
08/18/2021,Deposit,BIG VC Investors,"BIG VC Investors Issue of 3,226,984 Series seed shares",Account1,2097539.6,11610558.4
08/18/2021,Deposit,BIG VC Investors,BIG VC Investors,Series Seed Preferred Share:Accel -Investment,2097539.6,13708098
08/18/2021,Deposit,BIG VC Investors,BIG VC Investors,Series Seed Preferred Share:Accel -Investment,2097539.6,15805637.6
08/18/2021,Deposit,BIG VC Investors,"BIG VC Investors Issue of 3,226,984 Series seed shares",Account1,2097539.6,17903177.2
08/18/2021,Deposit,BIG VC Investors,"BIG VC Investors Issue of 3,226,984 Series seed shares",Account1,2097539.6,20000716.8
08/19/2021,Expense,Lion Words,Harvey Spector,Professional Service Charges,1654.56,20002371.36
08/19/2021,Expense,Lion Words,Harvey Spector,Professional Service Charges,1654.56,20004025.92
08/19/2021,Expense,Lion Words,Harvey Spector,Credit Card - Ramp,1654.56,20005680.48
08/19/2021,Expense,Lion Words,Harvey Spector,Credit Card - Ramp,1654.56,20007335.04
08/19/2021,Expense,Lion Words,Harvey Spector,Professional Service Charges,1654.56,20008989.6
08/19/2021,Expense,Lion Words,Harvey Spector,Professional Service Charges,1654.56,20010644.16
08/19/2021,Expense,Lion Words,Harvey Spector,Credit Card - Ramp,1654.56,20012298.72
08/19/2021,Expense,Lion Words,Harvey Spector,Credit Card - Ramp,1654.56,20013953.28
08/21/2021,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-2070000,17943953.28
08/21/2021,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-2070000,15873953.28
08/21/2021,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-2070000,13803953.28
08/21/2021,Transfer,,PaymentServiceB Savings **6977,Account1,2070000,15873953.28
08/21/2021,Transfer,,PaymentServiceB Savings **6977,Account1,2070000,17943953.28
08/21/2021,Transfer,,PaymentServiceB Savings **6977,Savings (6977),-2070000,15873953.28
08/21/2021,Transfer,,PaymentServiceB Savings **6977,Account1,2070000,17943953.28
08/21/2021,Transfer,,PaymentServiceB Savings **6977,Account1,2070000,20013953.28
08/30/2021,Expense,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,-0.56,20013952.72
08/30/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.17,20013952.89
08/30/2021,Deposit,,RAMP BUSINESS CO,Account1,-0.17,20013952.72
08/30/2021,Expense,Pony Express,,Tools & Subscription - G&A,19,20013971.72
08/30/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.39,20013972.11
08/30/2021,Expense,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,-0.56,20013971.55
08/30/2021,Deposit,,RAMP BUSINESS CO,Account1,-0.39,20013971.16
08/30/2021,Expense,Pony Express,,Tools & Subscription - G&A,19,20013990.16
08/30/2021,Expense,,RAMP BUSINESS CO,Account1,0.56,20013990.72
08/30/2021,Deposit,,RAMP BUSINESS CO,Account1,-0.39,20013990.33
08/30/2021,Expense,,RAMP BUSINESS CO,Account1,0.56,20013990.89
08/30/2021,Deposit,,RAMP BUSINESS CO,Account1,-0.17,20013990.72
08/30/2021,Deposit,,RAMP BUSINESS CO,Account1,-0.39,20013990.33
08/30/2021,Expense,,RAMP BUSINESS CO,Account1,0.56,20013990.89
08/30/2021,Expense,Pony Express,Harvey Spector,Credit Card - Ramp,19,20014009.89
08/30/2021,Expense,Pony Express,,Tools & Subscription - G&A,19,20014028.89
08/30/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.17,20014029.06
08/30/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.39,20014029.45
08/30/2021,Deposit,,RAMP BUSINESS CO,Account1,-0.17,20014029.28
08/30/2021,Deposit,,RAMP BUSINESS CO,Account1,-0.39,20014028.89
08/30/2021,Expense,,RAMP BUSINESS CO,Account1,0.56,20014029.45
08/30/2021,Deposit,,RAMP BUSINESS CO,Account1,-0.17,20014029.28
08/30/2021,Expense,Pony Express,Harvey Spector,Credit Card - Ramp,19,20014048.28
08/30/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.39,20014048.67
08/30/2021,Expense,Pony Express,Harvey Spector,Credit Card - Ramp,19,20014067.67
08/30/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.39,20014068.06
08/30/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.17,20014068.23
08/30/2021,Expense,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,-0.56,20014067.67
08/30/2021,Expense,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,-0.56,20014067.11
08/30/2021,Deposit,,RAMP BUSINESS CO,General business expenses:Bank fees & service charges,0.17,20014067.28
08/30/2021,Expense,Pony Express,,Tools & Subscription - G&A,19,20014086.28
08/31/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-20270,19993816.28
08/31/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-20270,19973546.28
08/31/2021,Expense,Income Capitals ,Deel is for contractual (salary) payments,Account1,20270,19993816.28
08/31/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-20270,19973546.28
08/31/2021,Expense,Income Capitals ,Deel is for contractual (salary) payments,Account1,20270,19993816.28
08/31/2021,Expense,Income Capitals ,Deel is for contractual (salary) payments,Account1,20270,20014086.28
08/31/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-20270,19993816.28
08/31/2021,Expense,Income Capitals ,Deel is for contractual (salary) payments,Account1,20270,20014086.28
09/01/2021,Expense,Typeform,Harvey Spector,Credit Card - Ramp,413,20014499.28
09/01/2021,Expense,Typeform,,Tools & Subscription - G&A,413,20014912.28
09/01/2021,Expense,Typeform,Harvey Spector,Credit Card - Ramp,413,20015325.28
09/01/2021,Expense,Typeform,Harvey Spector,Credit Card - Ramp,413,20015738.28
09/01/2021,Expense,Typeform,,Tools & Subscription - G&A,413,20016151.28
09/01/2021,Expense,Typeform,,Tools & Subscription - G&A,413,20016564.28
09/01/2021,Expense,Typeform,,Tools & Subscription - G&A,413,20016977.28
09/02/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-4069.03,20012908.25
09/02/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-4069.03,20008839.22
09/02/2021,Expense,Income Capitals ,"Income Capitals  , Gabriel Sal till 20th Aug",Account1,4069.03,20012908.25
09/02/2021,Expense,Income Capitals ,"Income Capitals  , Gabriel Sal till 20th Aug",Account1,4069.03,20016977.28
09/02/2021,Expense,Income Capitals ,"Income Capitals  , Gabriel Sal till 20th Aug",Account1,4069.03,20021046.31
09/02/2021,Expense,Income Capitals ,"Income Capitals  , Gabriel Sal till 20th Aug",Account1,4069.03,20025115.34
09/02/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-4069.03,20021046.31
09/02/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-4069.03,20016977.28
09/03/2021,Expense,Mazurek Co,,Tools & Subscription - G&A,29.95,20017007.23
09/03/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-4760.63,20012246.6
09/03/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-6375.67,20005870.93
09/03/2021,Expense,Income Capitals ,"Income Capitals , Pradeep Sal 1.5 months",Account1,6375.67,20012246.6
09/03/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-6375.67,20005870.93
09/03/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-4760.63,20001110.3
09/03/2021,Expense,Income Capitals ,"Income Capitals , Pradeep Sal 1.5 months",Account1,6375.67,20007485.97
09/03/2021,Expense,Income Capitals ,"Income Capitals , Pavan Sal -",Account1,4760.63,20012246.6
09/03/2021,Expense,Mazurek Co,Harvey Spector,Credit Card - Ramp,29.95,20012276.55
09/03/2021,Expense,Mazurek Co,,Tools & Subscription - G&A,29.95,20012306.5
09/03/2021,Expense,Mazurek Co,,Tools & Subscription - G&A,29.95,20012336.45
09/03/2021,Expense,Mazurek Co,Harvey Spector,Credit Card - Ramp,29.95,20012366.4
09/03/2021,Expense,Income Capitals ,"Income Capitals , Pavan Sal -",Account1,4760.63,20017127.03
09/03/2021,Expense,Mazurek Co,,Tools & Subscription - G&A,29.95,20017156.98
09/03/2021,Expense,Income Capitals ,"Income Capitals , Pavan Sal -",Account1,4760.63,20021917.61
09/03/2021,Expense,Income Capitals ,"Income Capitals , Pradeep Sal 1.5 months",Account1,6375.67,20028293.28
09/03/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-6375.67,20021917.61
09/03/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-6375.67,20015541.94
09/03/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-4760.63,20010781.31
09/03/2021,Expense,Income Capitals ,"Income Capitals , Pradeep Sal 1.5 months",Account1,6375.67,20017156.98
09/03/2021,Expense,Income Capitals ,"Income Capitals , Pavan Sal -",Account1,4760.63,20021917.61
09/03/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-4760.63,20017156.98
09/03/2021,Expense,Mazurek Co,Harvey Spector,Credit Card - Ramp,29.95,20017186.93
09/06/2021,Expense,Conversion.Ai,Harvey Spector,Tools & Subscription - S&M,119,20017305.93
09/06/2021,Expense,Conversion.Ai,Harvey Spector,Tools & Subscription - S&M,119,20017424.93
09/06/2021,Expense,Conversion.Ai,Harvey Spector,Credit Card - Ramp,119,20017543.93
09/06/2021,Expense,Conversion.Ai,Harvey Spector,Tools & Subscription - S&M,119,20017662.93
09/06/2021,Expense,Conversion.Ai,Harvey Spector,Credit Card - Ramp,119,20017781.93
09/06/2021,Expense,Conversion.Ai,Harvey Spector,Tools & Subscription - S&M,119,20017900.93
09/06/2021,Expense,Conversion.Ai,Harvey Spector,Credit Card - Ramp,119,20018019.93
09/08/2021,Expense,Income Capitals ,"Income Capitals , Pavan Sal -",Account1,4088.45,20022108.38
09/08/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-4205.03,20017903.35
09/08/2021,Expense,Income Capitals ,"Income Capitals , Pradeep Sal -",Account1,4205.03,20022108.38
09/08/2021,Expense,Income Capitals ,"Income Capitals , Pavan Sal -",Account1,4088.45,20026196.83
09/08/2021,Expense,Income Capitals ,"Income Capitals , Pradeep Sal -",Account1,4205.03,20030401.86
09/08/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-4088.45,20026313.41
09/08/2021,Expense,Income Capitals ,"Income Capitals , Pradeep Sal -",Account1,4205.03,20030518.44
09/08/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-4205.03,20026313.41
09/08/2021,Expense,Income Capitals ,"Income Capitals , Pavan Sal -",Account1,4088.45,20030401.86
09/08/2021,Expense,Income Capitals ,"Income Capitals , Pavan Sal -",Account1,4088.45,20034490.31
09/08/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-4205.03,20030285.28
09/08/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-4088.45,20026196.83
09/08/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-4205.03,20021991.8
09/08/2021,Expense,Income Capitals ,"Income Capitals , Pradeep Sal -",Account1,4205.03,20026196.83
09/08/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-4088.45,20022108.38
09/08/2021,Expense,Income Capitals ,Income Capitals ,Professional Service Charges,-4088.45,20018019.93
09/13/2021,Expense,Figma,,Tools & Subscription - G&A,90,20018109.93
09/13/2021,Expense,Heroku,Balapavan Tirumani,Tools & Subscription - S&M,7,20018116.93
09/13/2021,Expense,Figma,,Tools & Subscription - G&A,90,20018206.93
09/13/2021,Expense,Heroku,Balapavan Tirumani,Tools & Subscription - S&M,7,20018213.93
09/13/2021,Expense,Heroku,Balapavan Tirumani,Credit Card - Ramp,7,20018220.93
09/13/2021,Expense,Heroku,Balapavan Tirumani,Credit Card - Ramp,7,20018227.93
09/13/2021,Expense,Heroku,Balapavan Tirumani,Tools & Subscription - S&M,7,20018234.93
09/13/2021,Expense,Figma,,Tools & Subscription - G&A,90,20018324.93
09/13/2021,Expense,Figma,Mike ross,Credit Card - Ramp,90,20018414.93
09/13/2021,Expense,Figma,Mike ross,Credit Card - Ramp,90,20018504.93
09/13/2021,Expense,Heroku,Balapavan Tirumani,Credit Card - Ramp,7,20018511.93
09/13/2021,Expense,Figma,,Tools & Subscription - G&A,90,20018601.93
09/13/2021,Expense,Heroku,Balapavan Tirumani,Tools & Subscription - S&M,7,20018608.93
09/13/2021,Expense,Figma,Mike ross,Credit Card - Ramp,90,20018698.93
09/14/2021,Expense,Slack,Mike ross,Credit Card - Ramp,640,20019338.93
09/14/2021,Expense,Slack,Mike ross,Credit Card - Ramp,640,20019978.93
09/14/2021,Expense,Slack,,Tools & Subscription - G&A,640,20020618.93
09/14/2021,Expense,Slack,,Tools & Subscription - G&A,640,20021258.93
09/14/2021,Expense,Slack,Mike ross,Credit Card - Ramp,640,20021898.93
09/14/2021,Expense,Slack,,Tools & Subscription - G&A,640,20022538.93
09/14/2021,Expense,Slack,,Tools & Subscription - G&A,640,20023178.93
09/16/2021,Expense,carta,Mike ross,Credit Card - Ramp,2240,20025418.93
09/16/2021,Expense,,Harvey Spector,Investment in India Subsidiary,-180,20025238.93
09/16/2021,Expense,carta,,Tools & Subscription - G&A,2240,20027478.93
09/16/2021,Expense,,Towards Purchase of Equity Shares[code:P0006,Account1,180,20027658.93
09/16/2021,Expense,,Towards Purchase of Equity Shares[code:P0006,Account1,180,20027838.93
09/16/2021,Expense,carta,,Tools & Subscription - G&A,2240,20030078.93
09/16/2021,Expense,carta,,Tools & Subscription - G&A,2240,20032318.93
09/16/2021,Expense,,Harvey Spector,Investment in India Subsidiary,-180,20032138.93
09/16/2021,Expense,,Towards Purchase of Equity Shares[code:P0006,Account1,180,20032318.93
09/16/2021,Expense,,Harvey Spector,Investment in India Subsidiary,-180,20032138.93
09/16/2021,Expense,carta,Mike ross,Credit Card - Ramp,2240,20034378.93
09/16/2021,Expense,,Towards Purchase of Equity Shares[code:P0006,Account1,180,20034558.93
09/16/2021,Expense,,Harvey Spector,Investment in India Subsidiary,-180,20034378.93
09/16/2021,Expense,carta,,Tools & Subscription - G&A,2240,20036618.93
09/16/2021,Expense,carta,Mike ross,Credit Card - Ramp,2240,20038858.93
09/20/2021,Expense,Zoom,,Tools & Subscription - G&A,153.75,20039012.68
09/20/2021,Expense,Zoom,,Tools & Subscription - G&A,153.75,20039166.43
09/20/2021,Credit Card Payment,,RAMP BUSINESS CO,Credit Card - Ramp,-5212.51,20033953.92
09/20/2021,Credit Card Payment,,RAMP BUSINESS CO,Account1,-5212.51,20028741.41
09/20/2021,Expense,Zoom,Mike ross,Credit Card - Ramp,153.75,20028895.16
09/20/2021,Expense,Zoom,,Tools & Subscription - G&A,153.75,20029048.91
09/20/2021,Credit Card Payment,,RAMP BUSINESS CO,Credit Card - Ramp,-5212.51,20023836.4
09/20/2021,Credit Card Payment,,RAMP BUSINESS CO,Credit Card - Ramp,-5212.51,20018623.89
09/20/2021,Credit Card Payment,,RAMP BUSINESS CO,Account1,-5212.51,20013411.38
09/20/2021,Expense,Zoom,,Tools & Subscription - G&A,153.75,20013565.13
09/20/2021,Expense,Zoom,Mike ross,Credit Card - Ramp,153.75,20013718.88
09/20/2021,Credit Card Payment,,RAMP BUSINESS CO,Account1,-5212.51,20008506.37
